14,2,9,3,13,3,3,2,12,4,0.586
2,3,12,2,10,4,10,1,12,4,0.811
4,1,9,3,6,4,8,2,11,1,0.168
6,4,7,2,4,2,12,2,14,1,0.124
10,2,3,2,12,1,6,2,10,4,0.781
3,4,14,3,7,3,2,3,11,2,0.499
13,1,10,2,3,4,2,3,6,3,0.453
9,3,7,4,10,3,3,1,4,4,0.183
14,2,13,3,4,3,5,3,7,3,0.561
9,4,7,2,4,1,3,3,9,3,0.885
4,3,7,1,8,3,8,2,4,4,0.838
7,3,3,4,12,1,8,3,2,4,0.076
8,2,11,3,14,3,4,3,12,2,0.451
11,4,14,4,10,3,13,2,14,3,0.959
8,3,13,4,9,1,5,2,4,2,0.419
8,1,9,4,10,4,5,2,9,2,0.805
7,2,14,3,11,4,3,2,10,3,0.542
12,4,4,4,4,2,4,3,2,3,0.977
11,1,3,3,8,1,8,2,9,1,0.339
10,4,4,4,6,2,9,4,6,1,0.23
8,3,14,1,7,4,13,4,7,1,0.707
14,2,10,3,12,2,4,4,11,1,0.575
12,2,9,1,12,3,7,1,5,1,0.941
9,3,4,2,2,1,11,4,13,1,0.216
2,3,12,1,12,2,6,3,5,1,0.9
11,1,7,1,13,1,9,3,9,2,0.454
3,4,9,4,10,1,13,4,4,3,0.202
13,3,6,1,14,1,10,3,12,1,0.529
4,3,2,2,5,4,13,3,7,2,0.021
12,3,5,1,13,3,7,1,3,4,0.435
4,3,4,4,8,4,11,3,7,2,0.622
8,4,12,3,13,3,12,4,13,4,0.887
2,2,5,3,14,1,3,2,7,3,0.021
3,1,5,1,6,2,6,3,2,4,0.015
11,4,9,2,4,1,14,3,8,1,0.36
11,4,3,3,12,4,6,4,8,1,0.306
10,1,6,4,6,2,3,3,2,3,0.879
6,4,11,1,10,4,2,2,8,1,0.239
4,1,14,3,5,4,5,1,14,4,0.847
5,2,10,1,8,1,9,1,8,4,0.23
4,2,7,1,5,3,6,1,11,3,0.062
6,1,7,1,4,4,8,4,9,4,0.129
3,1,6,1,8,1,10,1,14,3,0.089
12,3,14,3,5,3,3,3,6,2,0.568
13,1,4,2,8,3,5,2,13,2,0.915
6,2,4,4,8,1,11,4,4,1,0.657
8,1,9,1,13,2,4,4,10,2,0.279
12,1,8,1,7,1,6,2,11,3,0.323
3,1,12,2,13,3,3,2,6,4,0.718
4,1,11,4,10,4,11,2,5,1,0.923
5,2,13,1,5,3,7,1,4,1,0.775
4,2,5,3,13,3,9,1,5,1,0.661
11,2,10,4,2,1,8,4,14,2,0.34
9,1,9,2,11,3,6,2,7,3,0.848
3,2,2,4,11,2,4,3,13,3,0.008
7,1,8,3,2,2,3,4,2,1,0.123
9,3,11,1,10,3,11,3,14,3,0.799
2,1,3,3,13,3,4,1,9,2,0.008
12,2,10,2,2,1,12,3,9,3,0.944
5,4,10,2,2,1,9,2,6,4,0.16
8,1,2,3,3,3,11,1,2,1,0.67
10,2,11,4,13,2,12,2,5,1,0.473
13,3,4,4,14,4,4,1,7,3,0.715
10,4,7,1,3,2,9,1,7,2,0.826
2,1,5,1,6,3,11,4,6,2,0.053
10,3,12,1,8,3,4,3,12,4,0.946
14,2,9,2,7,4,6,4,4,3,0.542
10,2,11,4,12,3,10,1,9,2,0.796
13,4,2,3,7,1,14,2,8,3,0.499
5,2,13,3,14,1,8,3,9,2,0.552
13,1,10,2,4,2,3,1,6,4,0.401
14,2,10,3,2,2,6,3,5,4,0.557
3,4,12,2,6,3,14,3,14,4,0.515
4,4,4,3,10,1,11,2,7,3,0.586
8,3,6,2,12,2,7,2,4,2,0.11
7,4,3,2,9,2,13,3,6,3,0.106
14,3,8,1,12,1,5,4,10,4,0.59
3,1,2,2,13,2,9,4,8,4,0.011
3,3,2,1,9,3,10,4,6,2,0.008
8,3,11,1,12,3,6,3,5,1,0.326
9,1,6,1,3,2,6,4,10,2,0.797
7,4,5,4,3,3,11,3,5,3,0.751
12,1,4,4,11,2,9,3,3,1,0.31
13,2,14,2,6,2,5,3,3,4,0.571
4,2,12,3,6,2,7,3,10,2,0.308
4,1,14,1,6,4,3,3,14,3,0.921
11,4,6,4,8,1,9,1,14,1,0.313
3,3,7,1,14,2,4,3,8,3,0.092
12,1,12,3,2,1,2,4,6,1,0.902
5,3,12,4,5,2,14,4,3,2,0.81
13,4,7,4,8,1,11,4,3,4,0.434
4,2,10,2,10,4,13,1,13,4,0.859
3,3,6,1,5,3,11,4,11,2,0.059
13,3,7,1,6,1,10,4,12,1,0.424
4,2,13,3,3,1,6,1,12,1,0.369
9,1,2,2,4,4,12,2,9,2,0.758
2,4,9,3,4,3,8,2,7,1,0.078
4,3,4,2,8,2,3,1,7,1,0.736
8,3,3,1,8,1,13,1,3,4,0.984
11,3,12,4,4,4,5,4,2,1,0.324
12,2,6,3,14,1,7,1,10,3,0.43
5,4,8,3,6,3,12,1,10,3,0.183
2,3,5,4,12,1,4,3,3,1,0.01
9,4,4,3,3,1,12,3,13,3,0.235
11,3,3,3,7,4,7,1,8,4,0.307
9,3,5,4,7,4,11,4,10,4,0.23
14,4,6,1,12,4,5,4,7,2,0.566
14,4,3,1,9,2,9,4,14,3,0.849
12,1,4,1,8,1,7,1,11,3,0.292
12,3,2,3,6,4,13,1,8,1,0.399
12,2,8,4,9,2,13,2,4,1,0.447
5,1,13,2,10,4,2,4,4,2,0.398
14,4,6,1,3,2,2,3,12,3,0.545
6,4,4,4,9,2,4,2,14,2,0.63
6,2,6,1,5,1,13,4,13,2,0.859
9,4,2,4,13,3,9,2,7,3,0.762
6,1,12,4,13,1,8,1,14,4,0.55
2,1,7,4,3,4,8,4,2,3,0.654
4,2,13,3,14,4,7,1,2,3,0.519
13,1,5,4,11,4,2,3,8,1,0.405
9,4,14,3,2,2,5,4,12,2,0.547
8,3,7,2,4,2,11,2,4,4,0.188
